Data/Hora/Min;Tarefa;Tipo de Tarefa;Modelo;Comparações;Resposta;Tentativas;"Latência da Tentativa (seg)";"Latência da Tarefa (seg)";Resultado;"Latência do Repertório (seg)";Acertos;Erros
20150409/14/59;1;AE;fi-ta;va-ca;fita;1;"5,206";"5,206";correto;"22,278";7;0
;2;CB;apito;tubo/bico/pipa;apito;1;"1,791";"1,791";correto;"";;
;3;AB;fita;tatu;fita;1;"2,739";"2,739";correto;"";;
;4;CE;mu-le-ta;pa-to/to-ma-te/a-pi-to;muleta;1;"5,945";"5,945";correto;"";;
;5;AB;bolo;vaca/fita;bolo;1;"1,794";"1,794";correto;"";;
;6;BE;fi-ta;ta-tu;fita;1;"2,812";"2,812";correto;"";;
;7;AC;apito;bico/pipa;apito;1;"1,991";"1,991";correto;"";;
