Data/Hora/Min;Tarefa;Tipo de Tarefa;Modelo;Comparações;Resposta;Tentativas;"Latência da Tentativa (seg)";"Latência da Tarefa (seg)";Resultado;"Latência do Repertório (seg)";Acertos;Erros
20150409/15/01;1;AE;fi-ta;va-ca;fica;1;"4,663";"4,663";errado;"18,592";3;4
;2;CB;apito;tubo/bico/pipa;pipa;1;"1,441";"1,441";errado;"";;
;3;AB;fita;tatu;fita;1;"1,772";"1,772";correto;"";;
;4;CE;mu-le-ta;pa-to/to-ma-te/a-pi-to;mapa;1;"2,919";"2,919";errado;"";;
;5;AB;bolo;vaca/fita;vaca;1;"2";"2";errado;"";;
;6;BE;fi-ta;ta-tu;fita;1;"3,261";"3,261";correto;"";;
;7;AC;apito;bico/pipa;apito;1;"2,536";"2,536";correto;"";;
