Tipo de Tarefa;Modelo;Comp1;Comp2;Comp3;Comp4;Comp5;Comp6;Comp7;Comp8;Comp9;Comp10;Comp11;Comp12;Comp13;Comp14
BB;luva;pato;;;;;;;;;;;;;
CC;luva;pato;;;;;;;;;;;;;
AB;tatu;mala;;;;;;;;;;;;;
BC;luva;pato;;;;;;;;;;;;;
AC;cavalo;mala;pato;luva;;;;;;;;;;;
AB;tomate;luva;;;;;;;;;;;;;
CB;tomate;tatu;;;;;;;;;;;;;
CE;ca-va-lo;;;;;;;;;;;;;;
AE;ta-tu;;;;;;;;;;;;;;;
BE;lu-va;;;;;;;;;;;;;;
