Data/Hora/Min;Tarefa;Tipo de Tarefa;Modelo;Comparações;Resposta;Tentativas;"Latência da Tentativa (seg)";"Latência da Tarefa (seg)";Resultado;"Latência do Repertório (seg)";Acertos;Erros
20150409/15/06;1;AE;fi-ta;va-ca;fita;1;"15,48";"15,48";correto;"40,011";7;0
;2;CB;apito;tubo/bico/pipa;apito;1;"2,959";"2,959";correto;"";;
;3;AB;fita;tatu;fita;1;"4,167";"4,167";correto;"";;
;4;CE;mu-le-ta;pa-to/to-ma-te/a-pi-to;muleta;1;"8,88";"8,88";correto;"";;
;5;AB;bolo;vaca/fita;bolo;1;"1,253";"1,253";correto;"";;
;6;BE;fi-ta;ta-tu;fita;1;"6,136";"6,136";correto;"";;
;7;AC;apito;bico/pipa;apito;1;"1,136";"1,136";correto;"";;
